61280,30220,36702,1502
59138,28768,33272,1593
67520,34738,40826,1735
63927,35136,43847,1924
72271,41391,58754,2724
69176,39885,53740,2247
74193,47498,71377,2935
74386,49515,65778,2554
78962,57916,84089,3139
80589,57786,83836,2985
84706,73091,105078,3531
86498,65719,101657,3417
90941,77689,128144,4006
92472,73235,121478,3904
96935,85432,150621,4521
97689,80110,140886,4256
102245,92105,160584,4893
101739,87956,161807,4579
106044,94074,178578,5167
105792,95923,188172,5717
109392,101756,203673,6332
110574,104118,213372,6836
113595,109769,234588,7797
115242,112065,243453,8044
118109,117753,264329,9296
119827,119199,275586,9056
122555,124819,300793,10517
124632,126168,308850,10360
127206,131260,337413,11896
128948,131646,337072,11130
131541,136493,367522,12756
132547,136675,366614,12161
135099,140747,392414,13664
135586,141942,396223,14034
137966,145266,420067,15629
139422,148220,429052,16170
141420,150903,451185,18145
143626,153222,461437,18092
145457,155970,484330,20427
147577,158273,496535,19638
151271,160685,519275,22106
152271,163027,526396,20727
156265,165240,550870,23104
156363,166831,555313,22192
160886,168959,578426,23561
159516,170099,580619,23430
163166,172002,602465,24713
162488,172541,605193,25262
165834,174265,624606,26296
165155,177644,636350,28320
168237,178613,653935,30644
168941,184948,667801,30425
